标题,编号,商家,单价不含税,品名,单位,品牌,规格,发货仓,等级,起售量,联系电话,运费,库存量,图片1,图片2,图片3,页面网址,产品详情
"环森木业 柏木松木板材 3""-12'",20170607001,青岛环森木业,1880,柏木松木板材,立方,NA,3寸到12寸,环森木业加工厂,按需定制,10,18563934455,视收货地址另算,10000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgrc3eyQUozYiCigIwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgx83eyQUo9cqM7QcwkBM4rA4!60x60.jpg,,http://market.anywood.com/h-pd-353.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：柏木松木板材品牌：花旗松、云杉、铁杉、柏木产地：北美等级：按需定制规格：3寸到12寸加工工艺：特殊规格到港时间：现货存储仓库：环森木业加工厂仓库地址：日照市岚山区环森木业补充描述：青岛市黄岛区董家口港区环森木业交手条件：保证质量联系人：李博言联系电话：18563934455备注： 按客户需求的规格定制加工只要您需要我们就想办法做到！
创冕木业 冰糖果板材 30*2600-3000 28*2600-3000,20170522001,江苏创冕商贸有限公司,3400,冰糖果板材,立方,NA,"30*2600-3000,28*2600-3000",张家港大明宫木材交易市场,NA,3,18501535553,,40,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg0aaJyQUoqfiougcwdTicAQ!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg16aJyQUo0Pft0wMwdTicAQ!60x60.png,,http://market.anywood.com/h-pd-352.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：冰糖果板材品牌：NA产地：所罗门等级：NA规格：30*2600-3000，28*2600-3000加工工艺：烘干到港时间：2017年5月存储仓库：张家港大明宫木材交易市场仓库地址：江苏省苏州市张家港市金港镇长江中路补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。商家名称：江苏创冕商贸有限公司交手条件：按包出售，按方计价，1包起售联系人：路诚　：18501535553。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
东方华林 WFP 铁杉板材 108*108*1830-6100 SF,20170518001,青岛东方华林国际贸易有限公司,2200,铁杉板材,立方,WFP,108*108*1830-6100,黄岛大窑,SF,4,13708968521,视收货地址另算,400,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg8en1yAUo0KGWtQMw4QY4iQU!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg-On1yAUovPaAxQQw4QY4iQU!60x60.png,,http://market.anywood.com/h-pd-351.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：铁杉板材等级：SF规格：108*108*1830-6100处理工艺：烘干补充描述：国内烘干，疤节少存储仓库：黄岛大窑仓库地址：黄岛大窑商家名称：青岛东方华林国际贸易有限公司交收条件：按包出售，按方计价，1包起售联系人：史延鹏　13708968521商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 VLP 白松板材 16*75*2700-6000 1-5,20161211201,山东人人国际贸易有限公司,2050,俄罗斯白松,立方,VLP,16*75*2700-6000,青岛北方木材交易市场,1月5日,1,18151988444,视收货地址另算,1000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg49a1wgUokryGrwMwjQQ41QU!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg6ta1wgUolJW9pAIwsAQ44gE!60x60.png,,http://market.anywood.com/h-pd-297.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：VLP产地：俄罗斯等级：1-5规格：16*75*2700-6000加工工艺：烘干到港时间：2016年12月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 LDK 樟松板材 50*150*2700-6000 SF,20161211206,山东人人国际贸易有限公司,2000,樟子松,立方,LDK,50*150*2700-6000,青岛北方木材交易市场,SF,1,18151988444,视收货地址另算,1000,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAghuq1wgUokPXEuAQwqQQ4zAE!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgkeq1wgUoxMeWUzCiBDiGAg!60x60.png,,http://market.anywood.com/h-pd-302.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松板材品牌：LDK产地：俄罗斯等级：SF规格：50*150*2700-6000加工工艺：烘干到港时间：2016年12月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
山东殿宇木业 DY 花旗板材 3m-4m 特级,20161218102,山东殿宇木业有限公司,1430,花旗,立方,DY,3m-4m,山东省临沂市临港开发区隆盛木业A区5号,特级,1,14763331888,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5OPYwgUossff0gYwoAY4jQY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg6ePYwgUo8I-g0gcw0AU4gAo!60x60.jpg,,http://market.anywood.com/h-pd-312.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：定制花旗板材品牌：DY（殿宇）等级：A规格：3m-4m加工工艺：烘干到港时间：2016年12月存储仓库：山东省临沂市临港开发区隆盛木业A区5号补充描述：山东殿宇木业有限公司常年私人订制加工各类铁杉，花旗，辐射松，樟子松成材。商家名称：山东殿宇木业有限公司交手条件：按包出售，按方计价，1包起售联系人：曹经理：14763331888商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
青岛恒润林 超人 云杉板材 32/44/38*100 SF,20161218105,青岛恒润林贸易有限公司,2050,云衫板材,立方,超人,32/44/38*100,青岛鑫汇海物流有限公司,SF,1,15166635353,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxvjYwgUogNuc6QQw0AU4gAo!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyvjYwgUor-KshQcw0AU4gAo!60x60.jpg,,http://market.anywood.com/h-pd-315.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：云杉品牌：超人产地：芬兰等级：SF规格：32/44/38*100处理工艺：烘干到港时间：2016年12月 ?存储仓库：青岛鑫汇海物流有限公司商家名称：青岛恒润林贸易有限公司联系人：王总　15166635353商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
爱青木业 JC 红橡山区材 4/4 ?1com,20171009014,上海爱青木业有限公司,4800,红橡,立方,JC,4月4日,爱青木业仓库,1com,5,13818807875,,200,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgorfovwUoyrj4ogMwlwM4rgI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgpLfovwUop7ewjgEwnAM45gM!60x60.jpg,,http://market.anywood.com/h-pd-223.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：红橡山区材 产地：美国等级：普一级 ?规格：4/4 ?存储仓库：爱青木业仓库商家名称：上海爱青木业有限公司联系人：王恪永13818807875 商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
爱青木业/CL/红橡/4/4/1COM,20161221102,上海爱青木业有限公司,5200,红橡,立方,CL,4月4日,嘉定科贸路800号,1COM,4,18616319405,视收货地址另算,80,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgorTowgUo9Z7lvAYwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgrbTowgUo_JGS0QEwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-322.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：红橡木产地：美国等级：1COM规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海爱青木业有限公司交收条件：按方出售联系人：王先生　18616319405商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
爱青木业/HAMER/樱桃木/4/4/1COM,20161221101,上海爱青木业有限公司,5500,樱桃木,立方,HAMER,4月4日,嘉定科贸路800号,1COM,4,18616319405,视收货地址另算,70,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgtbHowgUotaT37QcwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgu7HowgUoxrCI0wEwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-321.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樱桃木产地：美国等级：1COM规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海爱青木业有限公司交收条件：按方出售联系人：王先生　18616319405商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
安粮发展/SHANNON/红橡/4/4/特级,20161230104,安徽安粮实业发展有限公司,0,红橡,立方,SHANNON,4月4日,嘉定科贸路800号,特级,3,13956963335,视收货地址另算,50,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgn-_XwwUondSntgYw9wM4gQM!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgpf_XwwUo_-m0qwYwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-340.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：红橡产地：美国等级：特级规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：安徽安粮实业发展有限公司交收条件：按方出售联系人：廖先生　13956963335商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
安粮发展/SW/黑胡桃/8/4/FAS,20161230101,安徽安粮实业发展有限公司,17400,黑胡桃,立方,SW,8月4日,嘉定科贸路800号,FAS,4,13956963335,视收货地址另算,50,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg8-CXwwUo7c_KFzD9AzjNAg!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-PCXwwUo4Pq1VDCACjjABw!60x60.jpg,,http://market.anywood.com/h-pd-337.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑胡桃产地：美国等级：FAS规格：8/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：安徽安粮实业发展有限公司交收条件：按方出售联系人：廖先生　13956963335商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
北美木业/CASCADE/赤杨/4/4/1COM,20161226107,北美木业（上海）有限公司,5300,赤杨,立方,CASCADE,4月4日,嘉定科贸路800号,1COM,3,13024118588,视收货地址另算,50,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg-ZuDwwUo4L_7uAQwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgg5yDwwUo0N7SuQQwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-336.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：赤杨产地：美国等级：1COM规格：4/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：北美木业有限公司交收条件：按方出售联系人：刘先生　13024118588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
北美木业/CLASSIC/白橡/5/4/1COM,20161226106,北美木业（上海）有限公司,6600,白橡,立方,CLASSIC,5月4日,嘉定科贸路800号,1COM,3,13024118588,视收货地址另算,70,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgvpOCwwUokoG_ywUwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyJOCwwUot4vYwQUwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-328.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白橡产地：美国等级：1COM规格：5/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：北美木业有限公司交收条件：按方出售联系人：刘先生　13024118588商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
枋原木业/HZ/黑胡桃/2.54/特级,20161216103,上海枋原木业有限公司,12800,黑胡桃,立方,HZ,2.54,上海科茂路,特级,3,13918000501,视收货地址另算,150,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg3pmDwwUo1KSH4AYwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg8ZmDwwUo4JWlwAYwwAc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-310.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑胡桃产地：美国等级：特级规格：4/4(2.54cm）存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路商家名称：上海枋原木业有限公司交收条件：按方出售联系人：严先生　13918000501商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
枋原木业/KD/白橡/6/4/普一,20161226109,上海枋原木业有限公司,7800,白橡,立方,KD,6月4日,嘉定科贸路800号,普一,3,13918000501,视收货地址另算,40,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgnvqCwwUog9O0zAcwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgtvqCwwUo2KXApwIwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-332.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白橡产地：美国等级：1COM规格：6/4存储仓库：上海嘉定科茂路仓库地址：上海嘉定科茂路800号商家名称：上海枋原木业有限公司交收条件：按方出售联系人：严先生　13918000501商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
富华木业 ??白蜡原木 直径30公分+,20161218301,东莞市厚街富华木业,2300,白蜡原木,立方,,直径30公分+,厚街木材市场,A,25,18287932352,视收货地址另算,500,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgrNfcwgUoyNCNzwEwgAo4xgc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgs9fcwgUoz8GJ8wYwxgc4gAo!60x60.jpg,,http://market.anywood.com/h-pd-317.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白蜡原木规格：直径30公分以上等级：A存储仓库：厚街木材市场商家名称：厚街富华木业联系人：吴先生　18287932352商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
富华木业 ?白蜡板材 2.5-6.5 cm,20161215301,东莞市厚街富华木业,4300,白蜡板材,立方,,2.5-6.5,厚街木材市场,A,1,18287932352,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg7ZrKwgUojejA_wQwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg75rKwgUoiMGi5AUwgAo4xgc!60x60.jpg,,http://market.anywood.com/h-pd-307.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白蜡板材规格： 2.5-6.5cm等级：A处理工艺：加工存储仓库：厚街木材市场商家名称：厚街富华木业联系人：吴先生　18287932352商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
